Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:10:36.677,114333.9,0.002,BTCUSDT
2025-09-30 00:10:36.677,114334.2,0.001,BTCUSDT
2025-09-30 00:10:36.677,114334.2,0.007,BTCUSDT
2025-09-30 00:10:36.677,114334.3,0.003,BTCUSDT
2025-09-30 00:10:36.677,114334.5,0.002,BTCUSDT
2025-09-30 00:10:36.677,114334.6,0.037,BTCUSDT
2025-09-30 00:10:36.677,114334.6,0.006,BTCUSDT
2025-09-30 00:10:36.677,114334.9,0.001,BTCUSDT
2025-09-30 00:10:36.677,114335.0,0.001,BTCUSDT
2025-09-30 00:10:36.677,114335.1,0.001,BTCUSDT
2025-09-30 00:10:36.677,114335.1,0.002,BTCUSDT
2025-09-30 00:10:36.677,114335.6,0.003,BTCUSDT
2025-09-30 00:10:36.677,114335.7,0.002,BTCUSDT
2025-09-30 00:10:36.677,114335.8,0.003,BTCUSDT
2025-09-30 00:10:36.677,114336.0,0.003,BTCUSDT
2025-09-30 00:10:36.677,114336.1,0.002,BTCUSDT
2025-09-30 00:10:36.679,114336.2,0.003,BTCUSDT
2025-09-30 00:10:36.679,114336.2,0.001,BTCUSDT
2025-09-30 00:10:36.725,114336.3,0.002,BTCUSDT
2025-09-30 00:10:36.725,114336.3,0.003,BTCUSDT
2025-09-30 00:10:36.846,114336.3,0.005,BTCUSDT
2025-09-30 00:10:36.940,114336.3,0.002,BTCUSDT
2025-09-30 00:10:36.965,114336.2,0.002,BTCUSDT
2025-09-30 00:10:37.031,114336.3,0.2,BTCUSDT
2025-09-30 00:10:37.031,114336.3,0.045,BTCUSDT
2025-09-30 00:10:37.098,114336.3,0.001,BTCUSDT
2025-09-30 00:10:37.279,114336.2,0.047,BTCUSDT
2025-09-30 00:10:37.345,114336.2,0.08,BTCUSDT
2025-09-30 00:10:37.589,114336.3,0.001,BTCUSDT
2025-09-30 00:10:37.598,114336.2,0.001,BTCUSDT
2025-09-30 00:10:37.600,114336.3,0.019,BTCUSDT
2025-09-30 00:10:37.601,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.215,114336.2,0.047,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.031,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.067,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.012,BTCUSDT
2025-09-30 00:10:38.280,114336.3,0.002,BTCUSDT
2025-09-30 00:10:38.320,114336.2,0.001,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.003,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.007,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.009,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.001,BTCUSDT
2025-09-30 00:10:38.928,114336.3,0.078,BTCUSDT
2025-09-30 00:10:39.284,114336.2,0.047,BTCUSDT
2025-09-30 00:10:39.624,114336.3,0.005,BTCUSDT
2025-09-30 00:10:39.629,114336.3,0.016,BTCUSDT
2025-09-30 00:10:39.733,114336.2,0.212,BTCUSDT
2025-09-30 00:10:39.790,114336.3,0.018,BTCUSDT
